respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
300,B normal,d - once in a month,2,1,4,3,5,0,b) 1-10 %,60,a) male,c) 5000-10000 CZK,CZ,W
301,A Fairtrade,d - once in a month,0,1,0,0,0,0,d) 31 - 50 %,120,b) female,b) < 5 000 CZK,CZ,W
302,B normal,d - once in a month,5,1,2,4,3,0,c) 11-30 %,70,b) female,a) no,Slovakia,E
303,B normal,c - once in 2 weeks,1,1,0,0,0,0,b) 1-10 %,0,b) female,a) no,Russia,E
304,A Fairtrade,e - less frequently,3,1,4,2,5,0,e) 51 - 80 %,70,a) male,b) < 5 000 CZK,CZ,W
305,B normal,d - once in a month,1,1,5,2,5,0,c) 11-30 %,45,b) female,b) < 5 000 CZK,CZ,W
306,A Fairtrade,b - once a week,3,1,4,2,5,0,b) 1-10 %,50,b) female,a) no,Russia,E
307,B normal,e - less frequently,0,1,0,0,0,0,b) 1-10 %,50,b) female,a) no,CZ,W
308,B normal,d - once in a month,3,1,IDC,2,IDC,0,c) 11-30 %,48,a) male,c) 5000-10000 CZK,CZ,W
309,A Fairtrade,d - once in a month,0,1,0,1,0,množství kakaa,c) 11-30 %,50,a) male,b) < 5 000 CZK,CZ,W
310,A Fairtrade,d - once in a month,0,1,1,1,0,0,c) 11-30 %,75,a) male,b) < 5 000 CZK,CZ,W
311,A Fairtrade,e - less frequently,2,3,4,1,5,0,b) 1-10 %,55,a) male,c) 5000-10000 CZK,CZ,W
312,A Fairtrade,c - once in 2 weeks,0,1,0,0,0,0,c) 11-30 %,65,a) male,d) 10000-15000 CZK,CZ,W
313,B normal,d - once in a month,0,1,0,0,0,0,b) 1-10 %,50,a) male,a) no,Ukraine,E
315,B normal,c - once in 2 weeks,3,2,4,1,5,0,c) 11-30 %,65,b) female,c) 5000-10000 CZK,CZ,W
316,A Fairtrade,b - once a week,1,1,0,0,1,0,d) 31 - 50 %,70,b) female,a) no,CZ,W
317,A Fairtrade,e - less frequently,3,2,4,1,5,0,a) 0 %,45,a) male,a) no,CZ,W
318,A Fairtrade,e - less frequently,5,2,4,1,3,0,c) 11-30 %,50,b) female,a) no,CZ,W
319,A Fairtrade,d - once in a month,5,1,4,2,3,0,c) 11-30 %,60,b) female,a) no,CZ,W
320,A Fairtrade,d - once in a month,2,1,3,4,5,0,c) 11-30 %,80,b) female,b) < 5 000 CZK,CZ,W
321,A Fairtrade,e - less frequently,3,2,4,1,5,0,b) 1-10 %,55,b) female,a) no,CZ,W
322,A Fairtrade,e - less frequently,3,2,5,4,1,0,d) 31 - 50 %,70,b) female,a) no,CZ,W
323,A Fairtrade,d - once in a month,2,1,5,3,4,0,b) 1-10 %,70,b) female,b) < 5 000 CZK,CZ,W
324,A Fairtrade,c - once in 2 weeks,3,1,4,2,5,0,b) 1-10 %,50,b) female,a) no,CZ,W
325,A Fairtrade,e - less frequently,3,2,4,1,5,0,b) 1-10 %,50,a) male,a) no,CZ,W
326,B normal,b - once a week,0,1,0,1,1,0,e) 51 - 80 %,60,b) female,c) 5000-10000 CZK,Kazakhstan,E
327,A Fairtrade,b - once a week,3,1,5,2,4,0,b) 1-10 %,45,b) female,a) no,Kyrgyzstan,E
328,A Fairtrade,d - once in a month,3,1,5,2,4,0,c) 11-30 %,70,a) male,a) no,CZ,W
